Кедейчиликтин де?гээли ;Уровень бедности;Poverty rate;;;;;;;;;;;;;;;;;;
(пайыз менен);(в процентах);(per cent);;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
К?рс?тк?чт?рд?н аталыштары;Наименование показателей;Items;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
;;;;;;;;;;;;;;;;;;;;
Кыргыз Республикасы;Кыргызская Республика;Kyrgyz Republic;39,9;35,0;31,7;31,7;33,7;36,8;38,0;37,0;30,6;32,1;25,4;25,6;22,4;20,1;25,3;33,3;33,2;29,8
Баткен облусу;Баткенская область;Batken oblast;50,9;40,4;20,7;31,5;33,6;35,6;34,2;53,9;40,7;41,2;37,0;40,5;33,8;32,6;34,7;40,7;48,5;48,1
Жалал-Абад облусу;Джалал-Абадская область;Jalal-Abat oblast;58,3;53,0;40,1;36,9;44,7;45,3;55,7;46,4;46,4;45,1;32,2;32,6;32,2;26,9;37,2;43,2;47,1;36,1
Ысык-К?л облусу;Иссык-Кульская область;Yssyk-Kul oblast;43,9;38,6;52,2;46,1;38,0;29,5;28,1;39,5;26,0;28,9;24,7;24,2;21,5;24,4;27,9;38,1;31,2;30,9
Нарын облусу;Нарынская область;Naryn oblast;49,3;45,2;42,7;44,1;53,5;49,9;39,9;43,8;30,6;38,0;37,8;29,2;30,6;28,1;36,8;39,2;42,0;38,1
Ош облусу (2013 ж. чейин Ош шаары кошулуп);Ошская область  (до 2013 г.включая г. Ош);Osh oblast  (until 2013 y. including Osh city);52,1;46,6;37,5;38,3;41,9;44,7;51,4;43,4;31,7;28,9;22,0;14,3;14,8;14,0;18,8;23,8;19,9;20,4
Талас облусу;Таласская область;Talas oblast;40,0;35,3;43,0;33,0;42,3;50,2;39,6;23,1;19,0;21,5;18,1;20,7;22,1;13,3;12,5;23,5;23,9;23,2
Ч?й облусу ;Чуйская область;Chui oblast;20,1;15,0;15,8;21,2;21,9;28,6;16,6;23,6;21,6;24,8;30,3;33,3;15,6;19,1;25,4;27,0;26,1;26,6
Бишкек ш.;г.Бишкек;Bishkek city;5,5;5,0;15,2;13,2;7,9;18,4;21,4;20,4;17,6;23,5;9,8;15,9;15,4;11,9;16,8;35,8;35,7;32,4
Ош ш.;г.Ош;Osh city;-;-;-;-;-;-;-;40,9;33,4;38,3;24,6;33,5;35,5;20,7;14,7;28,6;26,6;13,9
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
